ID,Word,Tags
n00005787,benthos,"mangxamba, skaht, kd96, 27aou94,"
n00006484,cell,"cells, cellular, phones, phone, "
n00007846,"person, individual, someone, som","someone, actually, anyone, man, "
n00015388,"animal, animate being, beast, br","animals, human, instance, livest"
n00017222,"plant, flora, plant life","plants, factory, produce, facili"
n00021265,"food, nutrient","foods, supplies, eat, eating, fo"
n00021939,"artifact, artefact","artifacts, artefact, artefacts, "
n00120010,hop,"rap, hip, hip-hop, rappers, regg"
n00141669,check-in,"check-out, carousels, ticketing,"
n00288000,dressage,"eventing, equestrian, showjumpin"
n00288384,piaffe,
n00324978,"funambulism, tightrope walking",
n00326094,rock climbing,"band, pop, punk, 'n', bands"
n00433458,contact sport,"contacts, ______________________"
n00433661,"outdoor sport, field sport","indoor, outdoors, playground, ad"
n00433802,"gymnastics, gymnastic exercise","gymnastic, judo, weightlifting, "
n00434075,"acrobatics, tumbling","acrobatic, acrobats, clowning, s"
n00439826,track and field,"tracks, well, __________________"
n00440039,"track, running","tracks, well, __________________"
n00440382,"broad jump, long jump","brohd, broader, wide, wider, bro"
n00440509,high jump,"low, higher, well, school, ,"
n00440747,skiing,"ski, snowboarding, alpine, skier"
n00440941,cross-country skiing,"skiing, biking, skier, skiers, e"
n00441073,ski jumping,"skiing, alpine, skiers, snowboar"
n00441824,"water sport, aquatics","drinking, seawater, potable, sup"
n00442115,"swimming, swim","swim, pool, swimmers, rowing, di"
n00442437,bathe,"bathed, partake, em96, kd97, ooo"
n00442847,"dip, plunge","dips, dipping, drop, dipped, plu"
n00442981,"dive, diving","dives, diving, scuba, dived, das"
n00443231,"floating, natation","float, floated, mo95, k587-1, bd"
n00443692,cliff diving,"cliffs, http://www.co.mo.md.us, "
n00443803,flip,"flopping, flop, flops, flopped, "
n00444651,"skin diving, skin-dive","flesh, tissue, lesions, hair, ex"
n00444846,scuba diving,"snorkeling, diver, diving, diver"
n00444937,"snorkeling, snorkel diving","scuba, kayaking, snorkel, sunbat"
n00445055,"surfing, surfboarding, surfridin","surfers, surf, surfer, windsurfi"
n00445226,water-skiing,"waterskiing, mleggett@statesman."
n00445351,"rowing, row","rowers, sailing, regatta, swimmi"
n00445685,sculling,"oly-2004-cycling, myoot, ooooooo"
n00445802,"boxing, pugilism, fisticuffs","boxers, wrestling, boxer, heavyw"
n00446311,professional boxing,"amateur, professionals, career, "
n00446493,fight,"fights, fighting, fought, strugg"
n00446804,"spar, sparring","http://www.statoil.com, mo95, bd"
n00446980,archery,"judo, gymnastics, fencing, weigh"
n00447073,sledding,"snowshoeing, wintertime, snowmob"
n00447221,tobogganing,"mangxamba, ooooooooooooooooooooo"
n00447463,bobsledding,"em96, gph04bb, kd96, ooooooooooo"
n00447540,"wrestling, rassling, grappling","wrestlers, boxing, wrestler, wre"
n00447957,Greco-Roman wrestling,
n00448126,professional wrestling,"amateur, professionals, career, "
n00448232,sumo,"wrestlers, wrestler, yokozuna, w"
n00448466,skating,"skaters, skate, skater, rink, gy"
n00448640,ice skating,"hockey, rink, melting, frozen, s"
n00448748,figure skating,"figures, seen, same, though, act"
n00448872,rollerblading,"mangxamba, js03, kd94, oly-2004-"
n00448958,roller skating,"coaster, coasters, skates, rolle"
n00449054,skateboarding,"skateboard, snowboarding, skateb"
n00449168,speed skating,"speeds, faster, fast, slow, enab"
n00449295,racing,"racers, racer, nascar, raced, ra"
n00449517,"auto racing, car racing","automobile, automotive, automake"
n00449695,boat racing,"boats, vessel, ship, yacht, sail"
n00449796,hydroplane racing,"mangxamba, ooooooooooooooooooooo"
n00449892,camel racing,"camels, http://www.mediabynumber"
n00449977,greyhound racing,"65stk, piyanart, srivalo, http:/"
n00450070,horse racing,"horses, rode, thoroughbred, ridi"
n00450335,"riding, horseback riding, equita","rode, horseback, ride, bike, rid"
n00450700,equestrian sport,"dressage, eventing, archery, cyc"
n00450866,pony-trekking,
n00450998,"showjumping, stadium jumping",oooooooooooooooooooooooooooooooo
n00451186,"cross-country riding, cross-coun","skiing, biking, skier, skiers, e"
n00451370,cycling,"cyclists, cyclist, bike, riders,"
n00451563,bicycling,"biking, hiking, walking, bicycli"
n00451635,motorcycling,"motogp, motorcyling, 500cc, 125c"
n00452034,"bullfighting, tauromachy","bullfight, bullfights, em96, rw9"
n00452152,cockfighting,"bullfighting, 65stk, 24aou94, js"
n00452293,"hunt, hunting","hunts, hunting, hunter, http://w"
n00452864,beagling,
n00453126,coursing,"channeling, js04bb, gph04bb, gre"
n00453313,"deer hunting, deer hunt","elk, boar, shmahn, moose, rabbit"
n00453396,"ducking, duck hunting","dodging, ducked, dodged, sideste"
n00453478,"fox hunting, foxhunt","abc, nbc, cbs, turner, cnn"
n00453935,"fishing, sportfishing","fishermen, fisherman, boats, fis"
n00454237,angling,"kd97, em96, k587-1, js94bb, bdb9"
n00454395,fly-fishing,"mangxamba, kd96, bb97, sreerema,"
n00454493,"troll, trolling","65stk, js03, ooooooooooooooooooo"
n00454624,"casting, cast","cast, casts, http://www.nwguild."
n00454983,fly casting,"flies, flying, flew, flown, inst"
n00455173,"surf casting, surf fishing","surfing, surfers, str95bb, k587-"
n00456465,day game,"days, week, weekend, month, next"
n00463246,athletic game,"collegiate, sporting, basketball"
n00463543,"ice hockey, hockey, hockey game","hockey, rink, melting, frozen, s"
n00464277,tetherball,"23aou94, mangxamba, bluhnt, 27ao"
n00464478,water polo,"drinking, seawater, potable, sup"
n00464651,outdoor game,"indoor, outdoors, playground, ad"
n00464894,"golf, golf game","golfers, woods, course, golfer, "
n00466273,professional golf,"amateur, professionals, career, "
n00466377,"round of golf, round","rounds, final, fourth, second, t"
n00466524,"medal play, stroke play","medals, bronze, medalist, silver"
n00466630,match play,"matches, final, play, draw, tour"
n00466712,miniature golf,"replicas, replica, resembling, o"
n00466880,croquet,"lawn, wc2003-sri, bocce, oly-200"
n00467320,"quoits, horseshoes","peesk, 27aou94, mangxamba, 28aou"
n00467536,"shuffleboard, shovelboard","bocce, 65stk, oooooooooooooooooo"
n00467719,field game,"fields, goals_none, ., well, add"
n00467995,"field hockey, hockey","fields, goals_none, ., well, add"
n00468299,"shinny, shinney","mangxamba, kd96, localweather, 2"
n00468480,"football, football game","soccer, basketball, baseball, cl"
n00469651,"American football, American foot",
n00470554,professional football,"amateur, professionals, career, "
n00470682,touch football,"touches, sort, hand, unfortunate"
n00470830,hurling,"limerick, cork, kilkenny, laois,"
n00470966,"rugby, rugby football, rugger","football, cricket, wales, club, "
n00471437,"ball game, ballgame","balls, bounced, throw, kick, got"
n00471613,"baseball, baseball game","leagues, mlb, basketball, footba"
n00474568,ball,"balls, bounced, throw, kick, got"
n00474657,professional baseball,"amateur, professionals, career, "
n00475014,"no-hit game, no-hitter","triples_rollins, hits_gwynn, myo"
n00475273,"two-hitter, 2-hitter",
n00475403,"three-hitter, 3-hitter",
n00475535,"four-hitter, 4-hitter",
n00475787,"softball, softball game","volleyball, basketball, cheerlea"
n00476235,"stickball, stickball game","wc2003-sri, js03, wc2003-wis, kd"
n00476389,cricket,"cricketers, rugby, twenty20, mat"
n00477392,lacrosse,"softball, hockey, varsity, cheer"
n00477639,polo,"k977-1, bulletinyyy, str95bb, bd"
n00478262,"soccer, association football","football, basketball, hockey, vo"
n00479076,court game,"courts, appeals, judge, supreme,"
n00479440,handball,"volleyball, softball, badminton,"
n00479616,racquetball,"squash, oly-2004-basket, billiar"
n00479887,"squash, squash racquets, squash ","racquetball, zucchini, badminton"
n00480211,"volleyball, volleyball game","softball, handball, basketball, "
n00480366,"jai alai, pelota","alai, 65stk, nyahn, hahlt, chihn"
n00480508,badminton,"volleyball, tennis, gymnastics, "
n00480993,"basketball, basketball game, hoo","football, baseball, soccer, hock"
n00481803,professional basketball,"amateur, professionals, career, "
n00482122,netball,"softball, volleyball, badminton,"
n00482298,"tennis, lawn tennis","badminton, tournament, volleybal"
n00483205,professional tennis,"amateur, professionals, career, "
n00483313,singles,"doubles, albums, slam, debuted, "
n00483409,singles,"doubles, albums, slam, debuted, "
n00483508,doubles,"singles, slam, pair, teamed, par"
n00483605,doubles,"singles, slam, pair, teamed, par"
n00483705,"royal tennis, real tennis, court","queen, imperial, prohertrib, bri"
n00483848,pallone,"pascrell, myoot, ooooooooooooooo"
n00523513,"sport, athletics","sports, sporting, compete, ., we"
n00825773,judo,"taekwondo, weightlifting, karate"
n00887544,team sport,"teams, squad, players, teammates"
n01055165,"camping, encampment, bivouacking","hiking, campsite, campsites, bac"
n01314388,pest,"pests, infestation, insect, infe"
n01314663,critter,"24aou94, ooooooooooooooooooooooo"
n01314781,creepy-crawly,
n01315213,peeper,"mangxamba, oly-2004-weightliftin"
n01316422,scavenger,"hunts, em96, kd97, js04bb, gph04"
n01317089,"beast of burden, jument","beasts, creature, creatures, bul"
n01317294,draft animal,"drafted, drafts, drafting, pick,"
n01317541,"domestic animal, domesticated an","moreover, addition, increasing, "
n01317813,feeder,"feeders, piyanart, srivalo, str9"
n01317916,feeder,"feeders, piyanart, srivalo, str9"
n01318279,hatchling,"mangxamba, kd96, http://www.opel"
n01318381,head,"heads, headed, ,, ______________"
n01318894,pet,"pets, dog, cat, cats, dogs"
n01319467,"marine animal, marine creature, ","marines, corps, sergeant, navy, "
n01321123,hen,"shmahn, nyahn, tehz, nuhv, zehs"
n01321230,male,"female, adult, young, woman, whe"
n01321456,adult,"adults, teenagers, teens, male, "
n01321579,"young, offspring","youngsters, younger, teenagers, "
n01321770,orphan,"orphaned, orphans, 12-year-old, "
n01321854,young mammal,"youngsters, younger, teenagers, "
n01322221,baby,"babies, newborn, infant, birth, "
n01322343,"pup, whelp","kd97, http://www.mediabynumbers."
n01322508,"wolf pup, wolf cub","http://www.co.mo.md.us, http://w"
n01322604,puppy,"puppies, kitten, dog, retriever,"
n01322685,"cub, young carnivore","panda, lioness, mo95, k978-1, ht"
n01322898,lion cub,"elephant, beast, http://www.nwgu"
n01322983,bear cub,"bears, grizzly, indeed, stearns,"
n01323068,tiger cub,"tigers, woods, shmahn, elephant,"
n01323155,kit,"kits, js94bb, k977-1, k587-1, bu"
n01323261,suckling,oooooooooooooooooooooooooooooooo
n01323355,sire,"sired, racehorse, stallion, prog"
n01323493,dam,"dams, reservoir, hydroelectric, "
n01323599,"thoroughbred, purebred, purebloo","racehorse, racehorses, thoroughb"
n01324431,carnivore,"js03, oooooooooooooooooooooooooo"
n01324610,herbivore,"herbivores, carnivore, carnivoro"
n01326291,"microorganism, micro-organism","microorganisms, microbe, ooooooo"
n01338685,"herpes, herpes virus","simplex, warts, cytomegalovirus,"
n01339083,"herpes simplex 1, HS1, HSV-1, HS","simplex, warts, cytomegalovirus,"
n01339336,"herpes zoster, herpes zoster vir","simplex, warts, cytomegalovirus,"
n01339471,"herpes varicella zoster, herpes ","simplex, warts, cytomegalovirus,"
