Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM,Outdoor
cavern2.jpg,0,0,0.000180308,0.001804903,0.003578608,0.023508772,2.259477044,0.024318426,2.652916724,1
cavern2.jpg,0,5,0.000182635,0.001751664,0.003411894,0.022811818,2.282841281,0.024248291,2.644131338,1
cavern2.jpg,0,10,0.000184444,0.001699734,0.003378794,0.022102672,2.26697094,0.022566289,2.516051504,1
cavern2.jpg,0,15,0.000185996,0.001653472,0.003277817,0.021659734,2.372647173,0.021588693,2.495301274,1
cavern2.jpg,0,20,0.000187061,0.001609252,0.00316734,0.021036657,2.335841922,0.020642722,2.490623664,1
cavern2.jpg,0,25,0.000189314,0.001577184,0.003330606,0.020298478,2.323232011,0.020701157,2.612272888,1
cavern2.jpg,0,30,0.000191472,0.001548686,0.003198949,0.019435756,2.210430487,0.019838652,2.475286716,1
cavern2.jpg,0,35,0.000192868,0.001517944,0.002982935,0.018909311,2.235657468,0.018690327,2.37349572,1
cavern2.jpg,0,40,0.000192256,0.001477286,0.003009763,0.018276413,2.286391459,0.017336143,2.291327838,1
cavern2.jpg,0,45,0.000192877,0.001450046,0.003321042,0.017952349,2.254392933,0.017863134,2.492393524,1
cavern2.jpg,0,50,0.000194865,0.00143665,0.003551731,0.017823278,2.302997616,0.018021011,2.582187405,1
cavern2.jpg,0,55,0.000197761,0.001433481,0.003692849,0.017871207,2.320892742,0.018236528,2.622088829,1
cavern2.jpg,0,60,0.000200404,0.001431076,0.003846859,0.017815875,2.332848395,0.017965004,2.606987148,1
cavern2.jpg,0,65,0.000202861,0.001431246,0.003997622,0.017723316,2.447164488,0.017897544,2.611349227,1
cavern2.jpg,0,70,0.000204692,0.001430117,0.00399947,0.017216471,2.374375614,0.017447078,2.611497403,1
cavern2.jpg,0,75,0.000206387,0.001433659,0.003609089,0.016760331,2.216239372,0.01684226,2.476210989,1
cavern2.jpg,0,80,0.000208567,0.00144554,0.00334335,0.016530077,2.149267571,0.016415752,2.30471157,1
cavern2.jpg,0,85,0.000211752,0.001461145,0.003646372,0.016377945,2.247079004,0.016604356,2.328022661,1
cavern2.jpg,0,90,0.000214461,0.001474653,0.00371797,0.016451114,2.185078596,0.016925186,2.402455067,1
cavern2.jpg,0,95,0.000216932,0.00148834,0.003783316,0.016482943,2.178391624,0.017224576,2.466373533,1
cavern2.jpg,0,100,0.000219585,0.001503158,0.003835056,0.016531246,2.231666744,0.017482425,2.499293013,1
cavern2.jpg,0,105,0.000221022,0.001512263,0.003732745,0.016558444,2.230772639,0.017295598,2.4654418,1
cavern2.jpg,0,110,0.000222125,0.001519251,0.003798025,0.016505628,2.226932969,0.017146811,2.51595498,1
cavern2.jpg,0,115,0.000223169,0.001526839,0.003658408,0.016822181,2.247324333,0.016793035,2.449058303,1
cavern2.jpg,0,120,0.000223983,0.001532922,0.00360772,0.01732067,2.289985529,0.016815045,2.404395564,1
cavern2.jpg,0,125,0.000222957,0.001530253,0.003835885,0.017636427,2.427796759,0.017171827,2.557421538,1
cavern2.jpg,0,130,0.000219526,0.001514936,0.003573095,0.017509261,2.429965791,0.016570606,2.351175882,1
cavern2.jpg,0,135,0.000216183,0.001500532,0.003676121,0.017568727,2.529782565,0.016065815,2.35416802,1
cavern2.jpg,0,140,0.000213532,0.001489104,0.003567637,0.01744727,2.572704777,0.015796258,2.233295202,1
cavern2.jpg,0,145,0.000210699,0.001476479,0.00350374,0.017599111,2.610956742,0.015331415,2.144372729,1
cavern2.jpg,0,150,0.000208326,0.001464994,0.00374438,0.017773468,2.70826208,0.016124228,2.335217926,1
cavern2.jpg,0,155,0.000204627,0.001446469,0.003951332,0.017941353,2.76045927,0.016527292,2.381048558,1
cavern2.jpg,0,160,0.000199933,0.001421807,0.004142305,0.018042914,2.821040405,0.016945495,2.510259477,1
cavern2.jpg,0,165,0.000194803,0.001393572,0.004280345,0.01816188,2.855426206,0.0172792,2.62168198,1
cavern2.jpg,0,170,0.000189286,0.001362009,0.0041477,0.017998683,2.84536148,0.017203803,2.550893426,1
cavern2.jpg,0,175,0.000182933,0.001328374,0.004173905,0.018097467,2.904530272,0.017128591,2.552994501,1
cavern2.jpg,0,180,0.000175784,0.001290328,0.004292545,0.01815532,2.984582481,0.017158678,2.623698096,1
cavern2.jpg,0,185,0.000168406,0.001249694,0.004167527,0.018123624,2.990719192,0.016850337,2.496325421,1
cavern2.jpg,0,190,0.000161047,0.001208321,0.004130128,0.018201419,3.049029934,0.016958908,2.577647307,1
cavern2.jpg,0,195,0.000153724,0.001164402,0.004123693,0.01831232,3.146309292,0.017034794,2.586050937,1
cavern2.jpg,0,200,0.000146093,0.001119392,0.003872184,0.01836081,3.127719098,0.016643695,2.411755035,1
