Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM,Outdoor
closet.jpg,0,0,0.000129451,0.001624142,0.00564095,0.035328746,6.797964368,0.022945593,1.630254672,0
closet.jpg,0,5,0.000126957,0.001553932,0.005087316,0.032989041,6.330036474,0.021695179,1.478369644,0
closet.jpg,0,10,0.000124162,0.001480879,0.004570407,0.030735132,5.996584014,0.020328298,1.371621518,0
closet.jpg,0,15,0.000121134,0.001409223,0.004356568,0.028969825,5.958494986,0.019067128,1.296906535,0
closet.jpg,0,20,0.000118192,0.001342407,0.004213168,0.027751267,6.121266891,0.018239513,1.309201037,0
closet.jpg,0,25,0.000116082,0.001284797,0.004010598,0.026828734,6.252843577,0.01786157,1.244022221,0
closet.jpg,0,30,0.00011307,0.001228217,0.003747593,0.025935144,6.085058617,0.017093147,1.174482921,0
closet.jpg,0,35,0.000109522,0.001174311,0.003505923,0.024921995,5.766173923,0.016385337,1.1178874,0
closet.jpg,0,40,0.000105703,0.00112428,0.003278614,0.02403413,5.513349413,0.015722205,1.063468995,0
closet.jpg,0,45,0.000101739,0.001078116,0.003163297,0.023146184,5.367494734,0.015144103,1.027488765,0
closet.jpg,0,50,9.81E-05,0.001035874,0.00316061,0.022130721,5.227535068,0.014769273,1.01819344,0
closet.jpg,0,55,9.48E-05,0.000996479,0.003199301,0.021040217,4.96341774,0.014486225,1.01088174,0
closet.jpg,0,60,9.17E-05,0.00096021,0.003157146,0.020056415,4.492606617,0.014267068,0.993709797,0
closet.jpg,0,65,8.88E-05,0.00092667,0.003089533,0.019387155,4.017615152,0.014178941,0.997751826,0
closet.jpg,0,70,8.58E-05,0.00089381,0.003114926,0.018978288,3.808584143,0.014224157,1.021671465,0
closet.jpg,0,75,8.32E-05,0.000862859,0.003412083,0.018654679,3.747370566,0.015081635,1.310081504,0
closet.jpg,0,80,7.90E-05,0.000822539,0.003443576,0.018080182,3.636050823,0.015741959,1.290332477,0
closet.jpg,0,85,7.30E-05,0.000764775,0.003462362,0.016751228,3.344364731,0.015781426,1.365580143,0
closet.jpg,0,90,6.62E-05,0.000696213,0.003085204,0.014500836,2.640328777,0.014975796,1.322111433,0
closet.jpg,0,95,5.98E-05,0.000635044,0.002524613,0.012724689,1.846075146,0.014499373,1.165494897,0
closet.jpg,0,100,5.39E-05,0.000575604,0.002340414,0.011146123,1.420894025,0.013739888,1.176898187,0
closet.jpg,0,105,4.95E-05,0.000529526,0.00185702,0.009801444,1.083067908,0.013308565,0.946684967,0
closet.jpg,0,110,4.52E-05,0.000482903,0.001829749,0.009279077,0.963686157,0.013989946,1.117945569,0
closet.jpg,0,115,4.03E-05,0.000401496,0.000830052,0.007721406,0.556170189,0.011319445,0.558450482,0
closet.jpg,0,120,3.81E-05,0.000375051,0.000533517,0.007392139,0.502039033,0.009448078,0.34820212,0
closet.jpg,0,125,3.99E-05,0.000392328,0.000607427,0.007354026,0.481188818,0.010494754,0.423147879,0
closet.jpg,0,130,4.23E-05,0.000412866,0.000519671,0.007301414,0.457090504,0.010582766,0.376364341,0
closet.jpg,0,135,4.30E-05,0.000419419,0.00047673,0.007191158,0.433666123,0.010593264,0.370465575,0
closet.jpg,0,140,4.31E-05,0.000421169,0.000457258,0.006953623,0.396425379,0.010627194,0.367175199,0
closet.jpg,0,145,4.31E-05,0.000422447,0.000464549,0.006876485,0.389329712,0.010675456,0.374876362,0
closet.jpg,0,150,4.30E-05,0.000424173,0.000474516,0.007044606,0.401468672,0.010765056,0.384330588,0
closet.jpg,0,155,4.27E-05,0.000424881,0.000466285,0.00721689,0.413151134,0.010755768,0.376975257,0
closet.jpg,0,160,4.24E-05,0.000424866,0.000488586,0.00737334,0.424859592,0.010787563,0.378009759,0
closet.jpg,0,165,4.19E-05,0.00042383,0.000502647,0.007467009,0.438537219,0.01089985,0.383711297,0
closet.jpg,0,170,4.06E-05,0.000414131,0.000564855,0.007443433,0.442076431,0.010571171,0.466042415,0
closet.jpg,0,175,4.11E-05,0.000416833,0.000572683,0.007481395,0.443676959,0.010451925,0.42177305,0
closet.jpg,0,180,4.42E-05,0.00044591,0.000627165,0.007610533,0.457356397,0.011298957,0.458763036,0
closet.jpg,0,185,4.82E-05,0.000487023,0.000920022,0.007832942,0.487839216,0.012292304,0.699767734,0
closet.jpg,0,190,5.20E-05,0.000522463,0.000816214,0.007910378,0.48343779,0.01220798,0.533590385,0
closet.jpg,0,195,5.63E-05,0.000562365,0.001119289,0.00835493,0.528637894,0.013682741,0.845894268,0
closet.jpg,0,200,6.08E-05,0.000601159,0.00128797,0.008502976,0.554950791,0.013735926,0.803164365,0
closet.jpg,0,205,6.49E-05,0.000635452,0.001317461,0.009057616,0.729179049,0.014161117,0.953228095,0
closet.jpg,0,210,6.83E-05,0.000654895,0.001280749,0.00898658,0.749522861,0.013847014,0.933449258,0
closet.jpg,0,215,7.25E-05,0.000684985,0.001574407,0.009409587,0.819071274,0.014898776,1.194135953,0
