Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM,Outdoor
football_stadium.jpg,0,0,0.000530249,0.005303,0.014283149,0.043302379,5.38824519,0.043382505,5.390983828,1
football_stadium.jpg,0,5,0.000530681,0.005096631,0.013508461,0.041661139,5.361522343,0.040030255,4.964139351,1
football_stadium.jpg,0,10,0.000531013,0.004911986,0.012781165,0.040216941,5.359037458,0.037119902,4.604743223,1
football_stadium.jpg,0,15,0.000531281,0.004746966,0.012297777,0.03886735,5.351988264,0.034731485,4.350129698,1
football_stadium.jpg,0,20,0.000531507,0.004599221,0.011872994,0.03768259,5.342101769,0.032665639,4.120692839,1
football_stadium.jpg,0,25,0.000531689,0.004466749,0.011741893,0.03657745,5.293467314,0.030917045,3.961704005,1
football_stadium.jpg,0,30,0.000531889,0.004348511,0.011575605,0.035618936,5.293081585,0.029512246,3.814676624,1
football_stadium.jpg,0,35,0.000532092,0.004242496,0.011315405,0.034770184,5.322915867,0.028325844,3.711957968,1
football_stadium.jpg,0,40,0.00053228,0.004147437,0.011378491,0.034003362,5.301096204,0.027287409,3.584612215,1
football_stadium.jpg,0,45,0.000532447,0.004062638,0.011298725,0.033307415,5.34332369,0.02656975,3.579264069,1
football_stadium.jpg,0,50,0.000532596,0.003987811,0.011607626,0.032649958,5.322563367,0.026133266,3.68273975,1
football_stadium.jpg,0,55,0.000532735,0.003922214,0.011842588,0.032105174,5.318835117,0.025792223,3.800680582,1
football_stadium.jpg,0,60,0.000532877,0.003866234,0.012069407,0.031695728,5.358213829,0.025797549,3.809065917,1
football_stadium.jpg,0,65,0.000533025,0.003820253,0.01251259,0.031286402,5.347286063,0.026145729,4.104665671,1
football_stadium.jpg,0,70,0.00053321,0.003786377,0.013091326,0.030978419,5.341274922,0.02706608,4.655349443,1
football_stadium.jpg,0,75,0.000533478,0.003771085,0.014559682,0.030898297,5.433153651,0.029388285,6.557820318,1
football_stadium.jpg,0,80,0.000533823,0.003773427,0.014179073,0.030895771,5.442611549,0.030746786,5.335139688,1
football_stadium.jpg,0,85,0.000534085,0.003775164,0.014174614,0.030893711,5.442174257,0.03078561,5.346063365,1
football_stadium.jpg,0,90,0.000533664,0.003772971,0.013367002,0.030745015,5.314176365,0.030483157,4.994356728,1
football_stadium.jpg,0,95,0.000531652,0.003761393,0.01321949,0.030201474,5.171396077,0.029918721,5.141202348,1
football_stadium.jpg,0,100,0.000529135,0.003746734,0.013000637,0.029827238,5.066237923,0.029790676,5.104096646,1
football_stadium.jpg,0,105,0.000526108,0.003729112,0.012471505,0.029440203,4.916148322,0.029722897,5.114829255,1
football_stadium.jpg,0,110,0.000520777,0.003699924,0.011772763,0.028705963,4.633730313,0.029037558,4.918064533,1
football_stadium.jpg,0,115,0.000513753,0.003662363,0.011164293,0.027991384,4.417735915,0.028455606,4.700657112,1
football_stadium.jpg,0,120,0.00050523,0.003617214,0.010657422,0.027297594,4.225060606,0.027900435,4.552483061,1
football_stadium.jpg,0,125,0.000494957,0.003564411,0.010236007,0.026663798,4.057038967,0.027183848,4.314390658,1
football_stadium.jpg,0,130,0.000484224,0.003508827,0.010248359,0.026318358,3.99229714,0.027219502,4.456083876,1
football_stadium.jpg,0,135,0.000474473,0.003456649,0.010304072,0.025931854,3.943414777,0.028247333,4.855500172,1
football_stadium.jpg,0,140,0.000464418,0.003403125,0.010048278,0.025433194,3.812493874,0.028107639,4.737172915,1
football_stadium.jpg,0,145,0.000453598,0.003345127,0.009738851,0.025004231,3.686900434,0.027773738,4.586310076,1
football_stadium.jpg,0,150,0.000441924,0.003282941,0.009400804,0.024503416,3.489996304,0.027597577,4.531899001,1
football_stadium.jpg,0,155,0.000430284,0.003220413,0.009537887,0.024020099,3.435051736,0.028165507,4.881874065,1
football_stadium.jpg,0,160,0.000419032,0.003156896,0.009437051,0.023824627,3.566664799,0.027892104,4.64190376,1
football_stadium.jpg,0,165,0.000406823,0.003088054,0.009063964,0.02346699,3.494705662,0.027636692,4.586953693,1
football_stadium.jpg,0,170,0.000392908,0.003010465,0.008762987,0.022988655,3.391501126,0.026833595,4.403129759,1
football_stadium.jpg,0,175,0.000378713,0.002930285,0.00864007,0.022655031,3.384414419,0.026731247,4.416041462,1
football_stadium.jpg,0,180,0.000364628,0.002849025,0.008317937,0.022245804,3.23666232,0.026658184,4.361055614,1
football_stadium.jpg,0,185,0.000350408,0.002766196,0.008015278,0.02160355,3.005150554,0.0265014,4.332437184,1
