Picture,X_center,Y_center,Brightness,Contrast,FM,VerticalContrast,VerticalFM,HorizontalContrast,HorizontalFM,Outdoor
diningroom.jpg,0,0,0.000222286,0.002641711,0.00217464,0.026970153,1.918096749,0.021290288,0.902048062,0
diningroom.jpg,0,5,0.000219127,0.002487858,0.001776419,0.025400811,1.819987926,0.017229779,0.635406006,0
diningroom.jpg,0,10,0.000214812,0.002340655,0.001560752,0.02391219,1.745065764,0.014112195,0.421188791,0
diningroom.jpg,0,15,0.000209896,0.002205787,0.001386175,0.022533784,1.654519861,0.012050554,0.30213412,0
diningroom.jpg,0,20,0.000204918,0.002086144,0.00142632,0.021322484,1.583621368,0.011057854,0.348212329,0
diningroom.jpg,0,25,0.000199397,0.001980083,0.001200068,0.020294635,1.509228417,0.010547202,0.279767931,0
diningroom.jpg,0,30,0.00019124,0.001878866,0.001133557,0.019252723,1.437445248,0.00991119,0.262355645,0
diningroom.jpg,0,35,0.000183428,0.00178954,0.001072018,0.018337841,1.372053977,0.00943165,0.248439071,0
diningroom.jpg,0,40,0.000176044,0.001710587,0.00102889,0.017524029,1.312513768,0.009016675,0.234707387,0
diningroom.jpg,0,45,0.000169097,0.001640968,0.000989078,0.016804394,1.258125866,0.008684252,0.22899304,0
diningroom.jpg,0,50,0.000163047,0.001580722,0.001036049,0.016246838,1.222713418,0.008753783,0.272627397,0
diningroom.jpg,0,55,0.000157828,0.001529373,0.001032605,0.015913904,1.207681676,0.008880527,0.295882439,0
diningroom.jpg,0,60,0.000153149,0.001485324,0.001135055,0.015648527,1.252494623,0.009037611,0.36722702,0
diningroom.jpg,0,65,0.000149025,0.00144891,0.001156239,0.015415523,1.247547334,0.009215636,0.40849301,0
diningroom.jpg,0,70,0.000145352,0.0014207,0.001246512,0.015267602,1.262188746,0.009579624,0.489981146,0
diningroom.jpg,0,75,0.000142783,0.001406465,0.001414461,0.015306527,1.29783208,0.010217386,0.620598573,0
diningroom.jpg,0,80,0.000140183,0.001403037,0.001372897,0.015474194,1.324513576,0.010543949,0.590011476,0
diningroom.jpg,0,85,0.000137002,0.00139829,0.001401154,0.015533683,1.34032248,0.010796182,0.623212423,0
diningroom.jpg,0,90,0.000133418,0.001391659,0.001450778,0.015600349,1.359343094,0.011298084,0.691957296,0
diningroom.jpg,0,95,0.000128275,0.001379825,0.001483118,0.015647865,1.366568178,0.012165684,0.764003192,0
diningroom.jpg,0,100,0.000121665,0.001357317,0.001651397,0.015620312,1.365505876,0.013540145,0.965830625,0
diningroom.jpg,0,105,0.000113706,0.00131926,0.001880901,0.015428873,1.350356243,0.015219333,1.231280437,0
diningroom.jpg,0,110,0.000104279,0.00125788,0.002158334,0.014882761,1.274099712,0.01657073,1.525781639,0
diningroom.jpg,0,115,9.42E-05,0.001176713,0.002185079,0.014049418,1.169482518,0.01677294,1.59002224,0
diningroom.jpg,0,120,8.42E-05,0.00108651,0.002142511,0.013142896,1.059053577,0.016795672,1.597281903,0
diningroom.jpg,0,125,7.42E-05,0.000987956,0.002084271,0.012240881,0.96352194,0.016750212,1.593915285,0
diningroom.jpg,0,130,6.44E-05,0.000879879,0.001987481,0.011323086,0.868235791,0.016425711,1.561913841,0
diningroom.jpg,0,135,5.51E-05,0.000765427,0.001783601,0.010433285,0.756816625,0.015643051,1.470715947,0
diningroom.jpg,0,140,4.66E-05,0.000653152,0.001503122,0.009563712,0.646040026,0.014173108,1.270409252,0
diningroom.jpg,0,145,3.94E-05,0.000556944,0.001247121,0.008857789,0.552988083,0.01286122,1.119036635,0
diningroom.jpg,0,150,3.33E-05,0.000479461,0.001019221,0.008349133,0.48743145,0.011612779,0.925220409,0
diningroom.jpg,0,155,2.83E-05,0.00042109,0.000860708,0.007992527,0.440401282,0.010641465,0.816890165,0
diningroom.jpg,0,160,2.45E-05,0.000380041,0.000761567,0.007768943,0.412925521,0.01005916,0.756810586,0
diningroom.jpg,0,165,2.16E-05,0.000350544,0.000701527,0.0076058,0.396879074,0.00968686,0.696547342,0
diningroom.jpg,0,170,1.92E-05,0.000319095,0.000683719,0.007353389,0.381463939,0.009380372,0.759526344,0
diningroom.jpg,0,175,1.80E-05,0.00030273,0.000516034,0.007265758,0.363900384,0.007554763,0.514866194,0
diningroom.jpg,0,180,1.77E-05,0.000301094,0.000533584,0.007193017,0.352398982,0.007554988,0.505792197,0
diningroom.jpg,0,185,1.71E-05,0.000295847,0.000524215,0.006982677,0.332240409,0.007483576,0.502606068,0
diningroom.jpg,0,190,1.64E-05,0.000290458,0.00048632,0.006808268,0.315747047,0.007434378,0.500186865,0
diningroom.jpg,0,195,1.51E-05,0.000280348,0.000454339,0.006377073,0.283448684,0.007410173,0.473133973,0
diningroom.jpg,0,200,1.30E-05,0.000258869,0.000383652,0.005359209,0.191841842,0.006713828,0.408954688,0
